Address,Geocode
"66 avenue du Maine, 75014 Paris France","{""lat"": 48.839213, ""lng"": 2.3215071}"
"Rue de la Tombe Issoire, 75014 Paris France","{""lat"": 48.8303386, ""lng"": 2.3342216}"
"14 rue du Mont-Cenis, 75108 Paris France","{""lat"": 48.8875669, ""lng"": 2.3415434}"
"17 boulevard de Strasbourg, 75010 Paris France","{""lat"": 48.87047, ""lng"": 2.3546823}"
adress,"{""lat"": 55.7542079, ""lng"": 37.6062406}"
"7Bis Rue Girardon, 75018 Paris France","{""lat"": 48.8880356, ""lng"": 2.3377697}"
"69 boulevard Saint Michel À l'intérieur du Jardin du Luxembourg, 75005 Paris France","{""lat"": 48.843335, ""lng"": 2.359261}"
"117 rue Rambuteau Forum des Halles, 75001 Paris France","{""lat"": 48.863065, ""lng"": 2.345397}"
"Square Santiago du Chili - 1 avenue de la Motte Picquet, 75007 Paris France","{""lat"": 48.857476, ""lng"": 2.310915}"
"77 Place Felix Lobligeois, 75017 Paris France","{""lat"": 48.886824, ""lng"": 2.317581}"
"39 boulevard de la Tour Maubourg, 75007 Paris France","{""lat"": 48.8590406, ""lng"": 2.3102693}"
"23 Place Etienne Pernet, 75015 Paris France","{""lat"": 48.84298, ""lng"": 2.292399}"
"45 rue Madame Sixth Arrondissement, 75006 Paris France","{""lat"": 48.848632, ""lng"": 2.331752}"
"Rue de Valois Galerie d'Orléans, 75001 Paris France","{""lat"": 48.864849, ""lng"": 2.338422}"
"3 rue de Lanneau, 75005 Paris France","{""lat"": 48.8482531, ""lng"": 2.3467131}"
"Square Yorktown, 75016 Paris France","{""lat"": 48.8615727, ""lng"": 2.2864636}"
"61 rue de Réaumur, 75002 Paris France","{""lat"": 48.866452, ""lng"": 2.350809}"
"Cite Trevise, 75009 Paris France","{""lat"": 48.8747904, ""lng"": 2.3469593}"
"32 Rue Édouard Pailleron 32 Rue Édouard Pailleron, 75019 Paris France","{""lat"": 48.880857, ""lng"": 2.377682}"
"Place d'Iena, 75016 Paris France","{""lat"": 48.8648686, ""lng"": 2.294144}"
"Rue Réaumur, 75003 Paris France","{""lat"": 48.8655232, ""lng"": 2.3558261}"
"Avenue de Marigny Jardin des Champs Elysées, 75008 Paris France","{""lat"": 48.869472, ""lng"": 2.308573}"
"127 Rue de Grenelle, 75007 Paris France","{""lat"": 48.8578029, ""lng"": 2.3158854}"
"Place de la Concorde, 75008 Paris France","{""lat"": 48.8668476, ""lng"": 2.3208963}"
"25 Quai Anatole, 75007 Paris France","{""lat"": 48.8618196, ""lng"": 2.3215318}"
"78 Avenue de Suffren, 75015 Paris France","{""lat"": 48.8517143, ""lng"": 2.2997814}"
"Rue Auguste Comte Jardin du Luxembourg, 75006 Paris France","{""lat"": 48.844323, ""lng"": 2.335227}"
"8 rue Saint Just, 75017 Paris France","{""lat"": 48.8966207, ""lng"": 2.3139}"
"47 rue de Varenne, 75343 Paris France","{""lat"": 48.8543524, ""lng"": 2.3221787}"
"69 boulevard Saint Michel À l'intérieur du Jardin du Luxembourg, 75005 Paris France","{""lat"": 48.843335, ""lng"": 2.359261}"
"22 Bis Rue Legendre, 75017 Paris France","{""lat"": 48.8828332, ""lng"": 2.3124327}"
"Place de la Concorde, 75008 Paris France","{""lat"": 48.8668476, ""lng"": 2.3208963}"
"3 Place de Menilmontant, 75020 Paris France","{""lat"": 48.8684976, ""lng"": 2.3877241}"
"Jardin du Carrousel, 75001 Paris France","{""lat"": 48.8618772, ""lng"": 2.3332093}"
"Quai de la Seine, 75013 Paris France","{""lat"": 48.8842854, ""lng"": 2.3694415}"
"6 Rue Saint-Luc, 75018 Paris France","{""lat"": 48.8857058, ""lng"": 2.3545114}"
"9 rue du Platre, 75004 Paris France","{""lat"": 48.859214, ""lng"": 2.354821}"
"16 Rue Béranger, 75003 Paris France","{""lat"": 48.8661613, ""lng"": 2.3637451}"
Tout afficher,Non géocodé
"1 Jardin des Tuileries, 75001 Paris France","{""lat"": 48.8592, ""lng"": 2.3417}"
"66 rue St André des Arts, 75006 Paris France","{""lat"": 48.8536132, ""lng"": 2.3389686}"
"95 Boulevard Saint Michel, 75005 Paris France","{""lat"": 48.8445723, ""lng"": 2.3395375}"
"5 rue la Bruyere 9th, 75009 Paris France","{""lat"": 48.8789228, ""lng"": 2.3363976}"
"1 Square de Clignancourt, 75018 Paris France","{""lat"": 48.8924086, ""lng"": 2.3460804}"
"47 rue de la Roquette, 75011 Paris France","{""lat"": 48.8557048, ""lng"": 2.3747182}"
"1 Jardin des Tuileries Au Pied des Escaliers Menant au Jeu de Paume, 75001 Paris France","{""lat"": 49.108977, ""lng"": 6.945672}"
"40 rue de Citeaux, 75012 Paris France","{""lat"": 48.8501044, ""lng"": 2.3813775}"
"2 rue Gazan Parc Montsouris, 75014 Paris France","{""lat"": 48.82356, ""lng"": 2.33556}"
"10 Place Edouard VII, 75009 Paris France","{""lat"": 48.87131, ""lng"": 2.329332}"
"29 Galerie Vivienne 29/33 Galerie Vivienne, 75002 Paris France","{""lat"": 48.866713, ""lng"": 2.339696}"
"Rue de l'Arbre Sec Rue Saint-Honoré, 75001 Paris France","{""lat"": 48.860246, ""lng"": 2.342264}"
"Rue de Lille Parvis du Musée d'Orsay, 75007 Paris France","{""lat"": 48.859929, ""lng"": 2.326537}"
"1 Jardin des Tuileries, 75001 Paris France","{""lat"": 48.8592, ""lng"": 2.3417}"
"4 Place Jussieu, 75252 Paris France","{""lat"": 48.8475408, ""lng"": 2.3548406}"
"1 Jardin des Tuileries, 75001 Paris France","{""lat"": 48.8592, ""lng"": 2.3417}"
"Place du President Mithouard, 75007 Paris France","{""lat"": 48.8514532, ""lng"": 2.3138363}"
"57 rue de Turbigo, 75003 Paris France","{""lat"": 48.8656247, ""lng"": 2.3563529}"
"Rue Auguste Comte Jardin du Luxembourg, 75006 Paris France","{""lat"": 48.844323, ""lng"": 2.335227}"
"1 Jardin des Tuileries, 75001 Paris France","{""lat"": 14.607411, ""lng"": -61.063384}"
"1 Jardin des Tuileries, 75001 Paris France","{""lat"": 48.8592, ""lng"": 2.3417}"
"15-17 Rue d'Ulm, 75005 Paris France","{""lat"": 48.844192, ""lng"": 2.345227}"
"Rue du Cloître-Notre-Dame, 75004 Paris France","{""lat"": 48.8527097, ""lng"": 2.3519614}"
"Place de la Concorde, 75008 Paris France","{""lat"": 48.8668476, ""lng"": 2.3208963}"
"1 Place Denys Cochin, 75007 Paris France","{""lat"": 48.858961, ""lng"": 2.294377}"
"1 Jardin des Tuileries, 75001 Paris France","{""lat"": 14.607411, ""lng"": -61.063384}"
"Rue du Rivoli Jardin des Tuileries, 75001 Paris France","{""lat"": 48.862492, ""lng"": 2.335972}"
"124, avenue d’Italie, 75013 Paris France","{""lat"": 48.8237445, ""lng"": 2.3577476}"
"9 Place d'Iéna, 75116 Paris France","{""lat"": 48.865585, ""lng"": 2.294169}"
"Place Saint Georges, 75009 Paris France","{""lat"": 48.8784748, ""lng"": 2.3376123}"
"64 rue du Moulin des Pres, 75013 Paris France","{""lat"": 48.8261712, ""lng"": 2.3534897}"
"Rue Auguste Comte Jardin du Luxembourg, 75006 Paris France","{""lat"": 48.844323, ""lng"": 2.335227}"
"Rue du Faubourg Saint-Honore North of a Paris Metro station on Line 9 that bears the same name as the church, Saint-Philippe-du-Roule, 75008 Paris France",Non géocodé
"2 Rue de Viarmes, 75001 Paris France","{""lat"": 48.862928, ""lng"": 2.342411}"
"Jardin du Luxembourg cote Orangerie, 75006 Paris France","{""lat"": 48.8493, ""lng"": 2.33}"
"75 boulevard du Montparnasse, 75006 Paris France","{""lat"": 48.8437385, ""lng"": 2.3249292}"
"Square Felix Desruelles, 75006 Paris France","{""lat"": 48.8536912, ""lng"": 2.3347225}"
"2 impasse de la Poissonnerie, 75004 Paris France","{""lat"": 48.8556337, ""lng"": 2.3634268}"
"Rue Auguste Comte Jardin du Luxembourg, 75006 Paris France","{""lat"": 48.844323, ""lng"": 2.335227}"
"Jardin des Tuilleries, 75001 Paris France","{""lat"": 48.864025, ""lng"": 2.337294}"
"Avenue du Général Eisenhower, 75008 Paris France","{""lat"": 48.8672686, ""lng"": 2.3118917}"
"1 Jardin des Tuileries, 75001 Paris France","{""lat"": 48.8592, ""lng"": 2.3417}"
"Boulevard de Beauséjour, 75016 Paris France","{""lat"": 48.8567029, ""lng"": 2.2665349}"
"11 Square Alban Satragne, 75010 Paris France","{""lat"": 48.875454, ""lng"": 2.355248}"
"6 rue Gustave Geffroy, 75013 Paris France","{""lat"": 48.835114, ""lng"": 2.351105}"
"69 boulevard Saint Michel À l'intérieur du Jardin du Luxembourg, 75005 Paris France","{""lat"": 48.843335, ""lng"": 2.359261}"
"1 Jardin des Tuileries, 75001 Paris France","{""lat"": 48.8592, ""lng"": 2.3417}"
"Jardin du Carrousel, 75001 Paris France","{""lat"": 48.8618772, ""lng"": 2.3332093}"
"21 rue du Faubourg Montmartre, 75009 Paris France","{""lat"": 48.873125, ""lng"": 2.34294}"
"1 Jardin des Tuileries, 75001 Paris France","{""lat"": 48.8592, ""lng"": 2.3417}"
"25 rue de la Lune, 75002 Paris France","{""lat"": 48.8697641, ""lng"": 2.3495588}"
Tout afficher,Non géocodé
"24 Bis Rue de Saint Petersbourg, 75008 Paris France","{""lat"": 48.881463, ""lng"": 2.32549}"
Visiter le site web,Non géocodé
"1 Place Georges Guillaumin, 75008 Paris France","{""lat"": 48.874704, ""lng"": 2.301498}"
"Rond-Point des Champs-Élysées, 75008 Paris France","{""lat"": 48.8695713, ""lng"": 2.3085932}"
Tout afficher,Non géocodé
Tout afficher,Non géocodé
"Quartier Latin, 75005 Paris France","{""lat"": 48.8487414, ""lng"": 2.3420502}"
"Place Charles de Gaulle Place de L'Étoile, 75008 Paris France","{""lat"": 48.866615, ""lng"": 2.314882}"
"8 Boulevard de Menilmontant, 75020 Paris France","{""lat"": 48.868729, ""lng"": 2.393689}"
"Place des Vosges 4th Arrondissement, 75004 Paris France","{""lat"": 48.8555957, ""lng"": 2.3655335}"
Tout afficher,Non géocodé
"3e Arrondissement 3e Arrondissement, 75003 Paris France","{""lat"": 48.861613, ""lng"": 2.365866}"
"Place St-Germain-des-Pres, 75006 Paris France","{""lat"": 48.8539125, ""lng"": 2.333392}"
"129 Rue de Grenelle Hôtel National des Invalides, 75007 Paris France","{""lat"": 48.857037, ""lng"": 2.311878}"
"Place de la Concorde, 75001 Paris France","{""lat"": 48.866374, ""lng"": 2.3233842}"
"37 Rue de la Bûcherie Latin Quarter, 75005 Paris France","{""lat"": 48.8525876, ""lng"": 2.3471495}"
"Jardin des Tuileries - Côté Seine Place de la Concorde, 75058 Paris France","{""lat"": 14.610918, ""lng"": -61.083595}"
"79 Rue de Varenne close to Bois de Boulogne, 75007 Paris France","{""lat"": 48.856016, ""lng"": 2.315423}"
"35 Rue du Chevalier-De-La-Barre, 75018 Paris France","{""lat"": 48.8871037, ""lng"": 2.3434393}"
"1 Rue De La Légion d'Honneur, 75007 Paris France","{""lat"": 48.859562, ""lng"": 2.328966}"
"8 Boulevard du Palais, 75001 Paris France","{""lat"": 48.855037, ""lng"": 2.345356}"
"1 Rue Botzaris, 75019 Paris France","{""lat"": 48.876473, ""lng"": 2.381017}"
"Place de l’Opéra entrance at the corner of Scribe and Auber streets, 75009 Paris France","{""lat"": 48.870901, ""lng"": 2.332195}"
"Rue de Médicis Rue de Vaugirard, 75006 Paris France","{""lat"": 48.848054, ""lng"": 2.330386}"
"6 Parvis Notre-Dame Place Jean-Paul II, 75004 Paris France","{""lat"": 48.852974, ""lng"": 2.349908}"
"99 Rue de Rivoli, 75001 Paris France","{""lat"": 48.862734, ""lng"": 2.334836}"
"2 Rue Louis Boilly 16ème  Arrondissement, 75016 Paris France","{""lat"": 48.859228, ""lng"": 2.267162}"
"63 Rue de Monceau, 75008 Paris France","{""lat"": 48.8788507, ""lng"": 2.3128807}"
"Pont Alexandre III Quai d'Orsay, 75008 Paris France","{""lat"": 48.8629614, ""lng"": 2.3143913}"
"53 Avenue des Terroirs de France, 75012 Paris France","{""lat"": 48.832652, ""lng"": 2.389319}"
"Île de la Cité Palais de la Cité, 75001 Paris France","{""lat"": 48.8592, ""lng"": 2.3417}"
"Avenue des Champs Elysees, 75008 Paris France","{""lat"": 48.8683219, ""lng"": 2.3121977}"
"5 Avenue, 75007 Paris France","{""lat"": 48.8500163, ""lng"": 2.3077488}"
"Avenue Winston Churchill, 75008 Paris France","{""lat"": 48.8675162, ""lng"": 2.3139892}"
"37 Quai Branly, 75007 Paris France","{""lat"": 48.860953, ""lng"": 2.297887}"
"158 Boulevard Haussmann, 75008 Paris France","{""lat"": 48.8752531, ""lng"": 2.310789}"
"Place de la Concorde, 75008 Paris France","{""lat"": 48.8668476, ""lng"": 2.3208963}"
"Place du Trocadéro et du 11 Novembre, 75016 Paris France","{""lat"": 48.8628402, ""lng"": 2.287142}"
"Boulevard Richard Lenoir, 75011 Paris France","{""lat"": 48.8609015, ""lng"": 2.372836}"
"6 Place Sainte Geneviève, 75005 Paris France","{""lat"": 48.849326, ""lng"": 2.348507}"
"35 Boulevard de Courcelles, 75008 Paris France","{""lat"": 48.875432, ""lng"": 2.308634}"
"15 Rue de Vaugirard 6th arrondissement, 75006 Paris France","{""lat"": 48.8492162, ""lng"": 2.336455}"
"33 Avenue Du Maine, 75015 Paris France","{""lat"": 48.84262, ""lng"": 2.321747}"
"Rue du Cloître Notre-Dame, 75004 Paris France","{""lat"": 48.8527097, ""lng"": 2.3519614}"
"9, Rue Scribe, 75009 Paris France","{""lat"": 48.8714648, ""lng"": 2.3302801}"
"6 Rue de Montpensier, 75001 Paris France","{""lat"": 48.864332, ""lng"": 2.336754}"
"16 rue des Francs-Bourgeois, 75003 Paris France","{""lat"": 48.85721, ""lng"": 2.362036}"
"Pl. du Panthéon Mont Sainte Geneviève, 75005 Paris France","{""lat"": 48.846607, ""lng"": 2.347474}"
"Place de la Madeleine, 75008 Paris France","{""lat"": 48.8701898, ""lng"": 2.3237589}"
"1 Coulée Verte René-Dumont Gare de Lyon - Bercy, 75012 Paris France","{""lat"": 48.831738, ""lng"": 2.385354}"
"Entre Rues Étienne Marcel, des Petits Champs, Daniele Casanova, des Capucines et Quais des Tuileries, François Miterrand, du Louvre, de La Mégisserie, 75001 Paris France","{""lat"": 48.857855, ""lng"": 2.344789}"
"12 Rue Cortot, 75018 Paris France","{""lat"": 48.8877198, ""lng"": 2.340529}"
"Place de l'Hôtel de Ville Entrée au 5 Rue Lobeau ou au 29 Rue de Rivoli, 75004 Paris France","{""lat"": 48.85672, ""lng"": 2.354917}"
"6 Place d'Iéna, 75116 Paris France","{""lat"": 48.863404, ""lng"": 2.292972}"
"Rue Cler Near Eiffel Tower, 75007 Paris France","{""lat"": 48.858262, ""lng"": 2.294496}"
"60 Rue Réaumur, 75003 Paris France","{""lat"": 48.8657041, ""lng"": 2.3556111}"
"Rue Montorgueil, 75001 Paris France","{""lat"": 48.8629391, ""lng"": 2.3462175}"
"140 rue du Bac, 75007 Paris France","{""lat"": 48.8509524, ""lng"": 2.3237607}"
"Place Georges Pompidou Quartier Beaubourg - Le Marais, 75004 Paris France","{""lat"": 48.86074, ""lng"": 2.353222}"
"2 impasse Saint Eustache, 75001 Paris France","{""lat"": 48.8637288, ""lng"": 2.3454521}"
"28 Rue du Sommerard, 75005 Paris France","{""lat"": 48.8504741, ""lng"": 2.343391}"
"38 Rue Saint Maur, 75011 Paris France","{""lat"": 48.861647, ""lng"": 2.380766}"
"17 Rue Geoffroy L'Asnier, 75004 Paris France","{""lat"": 48.854851, ""lng"": 2.356314}"
"40 Boulevard Haussmann, 75009 Paris France","{""lat"": 48.873633, ""lng"": 2.332164}"
Visiter le site web,Non géocodé
Tout afficher,Non géocodé
"11 Rue François 1er, 75008 Paris France","{""lat"": 48.8665329, ""lng"": 2.3069915}"
"24 Rue de Sevres, 75007 Paris France","{""lat"": 48.850469, ""lng"": 2.324422}"
"Cité de la Musique 221 Avenue Jean-Jaurès, 75019 Paris France","{""lat"": 48.8898937, ""lng"": 2.3940699}"
"18 Rue Antoine Bourdelle 15e, 75015 Paris France","{""lat"": 48.842966, ""lng"": 2.318589}"
"62 Rue des Archives Le Marais, 75003 Paris France","{""lat"": 48.861255, ""lng"": 2.358787}"
"51 rue du Cardinal Lemoine, 75005 Paris France","{""lat"": 48.846816, ""lng"": 2.352126}"
"Place Vendôme, 75001 Paris France","{""lat"": 48.8674634, ""lng"": 2.3294281}"
"2 Rue Palatine, 75006 Paris France","{""lat"": 48.850994, ""lng"": 2.334844}"
Tout afficher,Non géocodé
"129, rue de Grenelle Hôtel national des Invalides, 75007 Paris France","{""lat"": 48.857037, ""lng"": 2.311878}"
"11 Avenue du Président Wilson, 75116 Paris France","{""lat"": 48.8638502, ""lng"": 2.2905615}"
En savoir plus sur le bien-être animal dans le tourisme,"{""lat"": 40.21667, ""lng"": 18.16667}"
"23 Rue de Mogador, 75009 Paris France","{""lat"": 48.875183, ""lng"": 2.3312843}"
"Rue des Prêtres Saint Séverin Quartier Latin, 75005 Paris France","{""lat"": 48.852024, ""lng"": 2.345178}"
Tout afficher,Non géocodé
"59 Rue de Rivoli Centre Artistique et Culturel, 75001 Paris France","{""lat"": 48.85923, ""lng"": 2.34567}"
"Place d'Aligre, 75011 Paris France","{""lat"": 48.8488627, ""lng"": 2.3784356}"
"107 Rue De La Croix-nivert, 75015 Paris France","{""lat"": 48.8424601, ""lng"": 2.2946166}"
En savoir plus sur le bien-être animal dans le tourisme,"{""lat"": 40.21667, ""lng"": 18.16667}"
Tout afficher,Non géocodé
